machine_id;machine_type;line_id;shift;operator_id;product_type;hour;day_of_week;is_weekend;temperature;vibration_level;power_consumption;pressure;material_flow_rate;cycle_time;error_rate;machine_age_hours;last_maintenance_hours;oil_level;lubrication_status;units_produced;downtime;ambient_temperature;humidity;noise_level_db
M003;Welder;L3;Shift_1_Pagi;OP003;Gear;8;0;0;78,3028789;2,043750941;23,0598555;5,088075726;20,01102601;118,1465104;0,883245895;15200;0,0167;94,25;Good;0;0;29,31;71;94,2
M004;Conveyor;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;80,87707571;2,175589831;16,01281399;5,412955759;18,37573921;123,0620583;0,777072942;6100;0,0167;76,45;Good;1;38;26,84;69,1;79,7
M001;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;71,31541791;2,154465079;15,75916416;5,769405395;17,11210668;122,7540642;0,757374176;12500;0,0167;75,14;Good;0;37;26,5;65,7;86,6
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;8;0;0;76,49619771;2,245977576;16,49026761;4,618783815;21,09068372;118,9902697;0,796480892;15200,02;0,0334;95,59;Good;0;39;30,7;56,4;73,3
M003;CNC;L3;Shift_1_Pagi;OP003;Gear;8;0;0;73,61220202;2,097302063;18,06428629;5,431250158;20,86859236;113,7498717;0,813360983;15200,03;0,0501;92,93;Good;0;0;25,23;64,9;79,4
M004;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;86,82031656;7,222654797;20,04057209;4,965513161;20,70063642;121,528506;1;6100,02;0;71,68;Good;0;0;28,31;73,6;94,9
M001;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;91,70081258;7,427526872;27,74665328;4,948130779;21,95439263;122,7571827;1;12500,02;0;71,09;Good;0;0;27,02;66,1;103,6
M001;CNC;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;70,50532244;1,592744738;21,38709427;4,385387724;19,00245216;123,6291057;0,780886245;12500,03;0,0167;75,94;Good;0;0;25,72;63,1;83,9
M003;CNC;L3;Shift_1_Pagi;OP003;Gear;8;0;0;75,77748576;1,729798585;18,30281478;4,886084236;17,85332879;121,7464639;0,718755667;15200,05;0,0668;95,6;Good;0;0;26,93;63,9;79,7
M002;Welder;L2;Shift_1_Pagi;OP003;Housing;8;0;0;76,42137964;1,710739979;17,41462908;4,601094017;19,89495533;118,6444243;0,717481476;8300;0,0167;32,5;Critical;0;0;24,91;64,2;96,1
M003;Welder;L3;Shift_1_Pagi;OP003;Gear;8;0;0;78,27769244;2,324016818;16,7636791;4,814458228;19,47874955;124,9700102;0,846162157;15200,07;0,0835;92,11;Good;0;0;26,11;61;96,8
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;8;0;0;86,60067371;6,947796745;28,25262084;4,560725446;18,73655642;120,3292425;1;15200,08;0;97,8;Good;0;0;26,93;64,8;80,2
M003;Drill;L3;Shift_1_Pagi;OP003;Gear;8;0;0;75,94855178;2,146191571;16,34833445;4,820436645;19,88022627;117,6753849;0,769582871;15200,1;0,0167;96,97;Good;0;38;24,67;72,2;88,2
M003;Welder;L3;Shift_1_Pagi;OP003;Gear;8;0;0;73,85148781;2,32157896;21,69279184;4,837555857;19,08259228;119,0967331;0,904796305;15200,12;0,0334;93,25;Good;0;45;27,76;71,6;94,7
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;75,83584768;1,736215165;21,8667195;5,038701967;17,24599207;111,2701548;0,811233497;6100,03;0,0167;71,83;Good;1;0;25,55;61,2;95,2
M001;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;74,00092338;2,104578536;18,5135016;4,354100055;19,33823496;119,0887909;0,825167862;12500,05;0,0334;71,84;Good;0;41;24,82;71,4;86,4
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;76,89724922;1,962447671;17,97696982;4,421792741;18,29543725;123,4421826;0,75491789;6100,05;0,0334;72,56;Good;0;0;25,38;68,8;94,6
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;73,92573589;2,254064631;20,06131962;5,144765708;20,34747211;121,6989151;0,85555354;6100,07;0,0501;73,88;Good;0;0;30,26;68,2;95,1
M004;Conveyor;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;76,16790143;1,96543273;20,189597;4,681024753;19,01594786;127,6033209;0,840359946;6100,08;0,0668;73,32;Good;3;0;24,03;67,2;80,6
M003;CNC;L3;Shift_1_Pagi;OP003;Gear;8;0;0;74,95084515;1,884517133;16,38801654;5,429811916;21,66744721;118,6851254;0,727475415;15200,13;0,0501;93,72;Good;0;36;27,65;60,3;82,1
M002;CNC;L2;Shift_1_Pagi;OP003;Housing;8;0;0;78,41881769;2,162272556;16,94688973;5,090107889;22,4057991;122,4365658;0,794539886;8300,02;0,0334;31,92;Critical;0;0;25,87;63;86
M001;CNC;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;74,88851911;2,26285075;15,35530513;5,24270486;21,01907206;123,9637009;0,806905272;12500,07;0,0501;71,57;Good;0;0;26,47;69,2;86,2
M002;CNC;L2;Shift_1_Pagi;OP003;Housing;8;0;0;69,72563623;1,799496442;18,81812988;5,564276928;17,67346073;131,714285;0,752272366;8300,03;0,0501;30;Critical;0;37;27,91;59;78
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;78,83253148;1,981677299;19,33325577;4,876115675;22,257794;120,7238275;0,827851757;6100,1;0,0835;72,93;Good;0;0;27,83;59,8;94,1
M004;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;72,33160342;1,68246781;15,30014872;4,770205318;22,36358068;114,7790641;0,691209274;6100,12;0,1002;73,46;Good;0;34;25,98;66,5;92,2
M002;Drill;L2;Shift_1_Pagi;OP003;Housing;8;0;0;73,08953466;1,250581695;17,08960219;5,348681034;20,02818577;124,2396438;0,603993093;8300,05;0,0668;32,95;Critical;0;0;24,96;61,1;88,5
M002;Conveyor;L2;Shift_1_Pagi;OP003;Housing;8;0;0;73,26588314;2,060137889;15,30549216;5,203805426;21,98438924;129,3286368;0,743839364;8300,07;0,0835;29,43;Critical;0;37;27,93;69,1;74,7
M002;Conveyor;L2;Shift_1_Pagi;OP003;Housing;8;0;0;79,17821465;2,182671607;16,20240038;4,925067876;19,17248729;118,3872564;0,787300137;8300,08;0,1002;31,32;Critical;3;0;27,83;61,2;77,3
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;68,64991107;2,078620043;19,10203412;5,556583187;17,2006311;124,2054077;0,841073097;6100,13;0,1169;74,28;Good;0;42;26,57;66,2;98,2
M004;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;;1,415131485;16,53303587;4,915102276;18,85957334;126,1436403;0,628882421;6100,15;0,1336;71;Good;0;31;27,66;66,6;87,9
M001;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;;1,894745171;17,39834809;5,013109455;22,5939513;125,0853277;0,766818118;12500,08;0,0668;74,38;Good;0;38;26,33;62,6;87,2
M001;CNC;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;75,7327505;1,334495672;14,74537654;5,00848906;17,76338011;120,6277926;0,610357035;12500,1;0,0835;71,75;Good;0;0;25,76;63,8;74,9
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;74,9003851;2,410910332;18,37398042;4,626162442;19,99928192;116,5076312;0,891678507;6100,17;0,1503;71,1;Good;0;44;27,01;61,6;95,1
M002;Welder;L2;Shift_1_Pagi;OP003;Housing;8;0;0;75,92376267;1,674183625;17,91145336;5,031034156;20,05121584;119,5936023;0,738522806;8300,1;0,1169;33,92;Critical;0;36;27,78;64,9;93,9
M002;CNC;L2;Shift_1_Pagi;OP003;Housing;8;0;0;76,63250108;2,376621083;16,5420815;5,558704071;19,23053863;122,2930023;0,841583569;8300,12;0,1336;34,02;Critical;0;0;27,46;60,2;79
M001;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;77,0068139;2,283760893;17,6219714;5,177987326;19,3347176;124,5411126;0,854389395;12500,12;0,1002;75,57;Good;0;42;27,76;63,9;94,4
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;76,74001389;1,729822894;18,36058976;5,012425371;20,1083737;121,6697252;0,721418906;6100,18;0,167;72,54;Good;1;0;25,86;68,7;93,7
M001;Conveyor;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;75,34397588;;16,3702637;4,935293088;19,15675649;118,1004602;0,695056248;12500,13;0,1169;71,31;Good;2;0;29,37;59,3;75,5
M001;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;74,48525192;2,105111065;15,04747491;5,132346811;17,86691225;122,7768983;0,758565579;12500,15;0,1336;74,82;Good;1;0;26,49;62,6;87,2
M003;Welder;L3;Shift_1_Pagi;OP003;Gear;8;0;0;74,62548068;1,746702789;21,61114887;5,299906651;20,32254791;124,3004253;0,803522582;15200,15;0,0668;94,61;Good;0;0;26,82;67,6;96,3
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;8;0;0;83,94585666;7,256574342;24,08120609;5,243695532;21,61004987;121,8980503;1;15200,17;0;92,7;Good;0;0;25,02;54,6;83,5
M003;Drill;L3;Shift_1_Pagi;OP003;Gear;8;0;0;78,48467751;1,855151723;17,80647979;4,867254055;21,30435878;115,8190644;0,758282128;15200,18;0,0167;94,93;Good;0;0;26,71;74,3;91,8
M002;CNC;L2;Shift_1_Pagi;OP003;Housing;8;0;0;76,86607074;1,465652476;20,02167947;5,129912638;18,7853968;119,0929698;0,696158125;8300,13;0,1503;28,43;Critical;0;0;27,8;70,2;80,4
M004;Conveyor;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;66,26626801;1,330859594;25,05811038;5,191975896;18,12315813;124,7391039;0,786454251;6100,2;0,1837;76,16;Good;3;0;28,14;57,3;80,3
M004;Conveyor;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;88,24288421;;23,25780334;4,597122005;19,57371818;113,084911;1;6100,22;0;72,26;Good;0;50;29,34;54,5;86,2
M004;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;75,67570919;1,831532676;18,89965443;5,067292216;22,35168726;109,5341099;0,794245749;6100,23;0,0167;74,68;Good;0;0;27,78;65,1;92,5
M004;CNC;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;75,03740769;1,834073055;16,58489543;4,135478445;20,96839712;127,5404143;0,713502621;6100,25;0,0334;72,57;Good;0;0;27,42;59,4;82,8
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;8;0;0;73,93001194;2,208759152;16,92241939;5,193013484;21,05594702;122,5570763;0,821222915;15200,2;0,0334;95,08;Good;3;0;26,33;69,8;74,2
M002;Welder;L2;Shift_1_Pagi;OP003;Housing;8;0;0;78,46993881;2,352032683;16,55957596;5,264137222;21,33478543;123,03365;0,80425664;8300,15;0,167;31,5;Critical;1;0;26,01;67;93,4
M002;Welder;L2;Shift_1_Pagi;OP003;Housing;8;0;0;89,39220762;6,37507847;23,96781495;5,29901845;20,63114984;114,6159151;1;8300,17;0;29,32;Critical;0;0;28,46;65,6;108,3
M003;Welder;L3;Shift_1_Pagi;OP003;Gear;8;0;0;72,78303434;1,897820388;17,91741728;4,841981259;20,18091282;123,6876403;0,764747007;15200,22;0,0501;97,77;Good;0;0;28,43;62,1;98,3
M002;CNC;L2;Shift_1_Pagi;OP003;Housing;8;0;0;76,32485755;2,15004291;15,05099463;5,123618734;20,99346034;121,3762434;0,762465967;8300,18;0,0167;32,86;Critical;0;38;25,38;73;79
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;8;0;0;72,19076383;1,592919329;19,89361513;5,569581538;19,18075084;112,0783621;0,756956429;15200,23;0,0668;97,59;Good;3;0;28,08;68,8;77,9
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;70,96891289;2,066945916;18,11000587;5,565507859;17,87830548;127,1214171;0,81368547;6100,27;0,0501;76,06;Good;0;0;27,98;68;92,5
M003;CNC;L3;Shift_1_Pagi;OP003;Gear;8;0;0;73,22964906;2,165565792;18,84486995;4,98833092;21,0844954;120,7934166;0,848060964;15200,25;0,0835;95,53;Good;0;0;25,33;71;83
M004;Welder;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;77,6990145;2,204069063;17,06762278;5,055727852;21,85660716;118,0195802;0,803780965;6100,28;0,0668;76,22;Good;0;40;27,81;59,9;97,5
M004;Drill;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;77,97324256;1,418974189;17,26559213;5,444364458;18,32265209;118,1100513;0,665480255;6100,3;0,0835;71,22;Good;1;0;25,43;71,4;92,4
M001;Conveyor;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;87,24016646;7,025935546;24,99615478;4,399679194;21,23288222;109,9238905;1;12500,17;0;71,89;Good;0;0;23,36;63,7;83,7
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;8;0;0;77,29322148;1,736521024;15,67189874;4,870769703;22,52114857;122,966683;0,664089738;15200,27;0,1002;92,21;Good;2;33;26,76;66,7;74,6
M001;CNC;L1;Shift_1_Pagi;OP003;Shaft;8;0;0;88,30474283;8,821729436;27,0024623;5,534228182;19,9966307;121,309286;1;12500,18;0;72,66;Good;0;50;27,39;64,2;90,1
M003;CNC;L3;Shift_1_Pagi;OP003;Gear;9;0;0;73,19755603;2,144223374;16,28077297;5,390080217;18,77299672;119,0295993;0,7989683;15200,28;0,1169;94,27;Good;1;0;26,83;55,6;85,2
M003;Conveyor;L3;Shift_1_Pagi;OP003;Gear;9;0;0;76,41980179;2,449013122;16,21886238;5,147705511;20,18452801;126,392426;0,83032381;15200,3;0,1336;93,56;Good;1;0;31,3;69,8;77,4
